time,x1_e,x2_e,x1_h,x2_h,x1_r,x2_r,sin,cos
time,x1_e,x2_e,x1_h,x2_h,x1_r,x2_r
0.78,0.706008871567765,0.713709730553301,0.703288729310362,0.71090446490723,0.703279419153822,0.710913538057605,0.70327941920041,0.710913538012277
0.79,0.713145968873298,0.706649641837623,0.710362609522969,0.703836032390881,0.710353272370883,0.703845315698614,0.710353272417608,0.703845315652236
0.8,0.720212465291674,0.69951818214889,0.717365451716402,0.696697214494032,0.717356090852679,0.696706709394601,0.717356090899523,0.696706709347165
0.81,0.727207647113163,0.692316057495973,0.724296555588756,0.689488725116143,0.724287174323196,0.689498433000247,0.724287174370143,0.689498432951747
0.820000000000001,0.734130807688123,0.685043981024842,0.731155228012138,0.682211285124,0.731145829679863,0.682221207337186,0.731145829726896,0.682221207287613
0.830000000000001,0.740981247498371,0.67770267294796,0.737940783101977,0.674865622279622,0.73793137106286,0.674875760121917,0.737931371109963,0.674875760071267
0.840000000000001,0.747758274227851,0.670292860472977,0.744652542285619,0.667452471167488,0.744643119923704,0.667462825893043,0.74464311997086,0.667462825841308
0.850000000000001,0.754461202832581,0.662815277730698,0.751289834370179,0.659972573121074,0.751280405093102,0.659983145937807,0.751280405140293,0.659983145884982
0.860000000000001,0.761089355609888,0.655270665702372,0.757851995609671,0.652426676148716,0.757842562848068,0.652437468217973,0.757842562895277,0.652437468164051
0.870000000000001,0.767642062266911,0.647659772146273,0.764338369771378,0.644815534858812,0.764328936978295,0.644826547295024,0.764328937025505,0.644826547240001
0.880000000000001,0.774118659988374,0.639983351523604,0.770748308201478,0.637139910384355,0.770738878851776,0.63715114425471,0.77073887889897,0.63715114419858
0.890000000000001,0.78051849350361,0.632242164923721,0.777081169889911,0.629400570306821,0.777071747479664,0.629412026630939,0.777071747526824,0.629412026573696
0.900000000000001,0.786840915152847,0.624436979988684,0.783336321534485,0.621598288579406,0.783326909580375,0.621609968329024,0.783326909627484,0.621609968270664
0.910000000000001,0.793085284952734,0.616568570837156,0.789513137604202,0.613733845449633,0.789503739642911,0.613745749548293,0.789503739689951,0.613745749488811
0.920000000000001,0.799250970661106,0.608637717987629,0.795611000401818,0.605808027381318,0.795601619989413,0.605820156704071,0.795601620036366,0.605820156643462
0.930000000000001,0.805337347840982,0.600645208281018,0.801629300125611,0.597821626975931,0.801619940836929,0.597833982349036,0.801619940883778,0.597833982287298
0.940000000000001,0.811343799923792,0.592591834802608,0.807567434930364,0.589775442893326,0.807558100358389,0.589788025093971,0.807558100405115,0.589788025031098
0.950000000000001,0.817269718271818,0.58447839680337,0.813424810987551,0.581670279771878,0.813415504742789,0.581683089527894,0.813415504789374,0.581683089463883
0.960000000000001,0.823114502239852,0.576305699620652,0.819200842544721,0.573506948148014,0.819191568254572,0.573519986137608,0.819191568300999,0.573519986072456
0.970000000000001,0.828877559236058,0.568074554598253,0.824894951984073,0.565286264375159,0.824885713292201,0.56529953122665,0.82488571333845,0.565299531160354
0.980000000000001,0.834558304782041,0.559785779005893,0.830506569880226,0.5570090505421,0.830497370445917,0.557022546833661,0.830497370491971,0.557022546766217
0.990000000000001,0.8401561625721,0.551440195958072,0.836035135057153,0.54867613439077,0.836025978554681,0.548689860650181,0.836025978600521,0.548689860581587
1,0.845670564531681,0.543038634332351,0.841480094644308,0.540288349233479,0.841470984762289,0.540302305937885,0.841470984807897,0.540302305868139
1.01,0.851100950875004,0.534581928687034,0.84684090413191,0.531846533869574,0.846831844572658,0.531860721445256,0.846831844618016,0.531860721374355
1.02,0.856446770161874,0.526070919178284,0.852117027425399,0.523351532501562,0.852108021904275,0.523365951323706,0.852108021949363,0.523365951251649
1.03,0.861707479353657,0.517506451476666,0.857307936899044,0.514804194650683,0.857298989143803,0.51481884504317,0.857298989188604,0.514818844969955
1.04,0.866882543868424,0.508889376683129,0.862413113448706,0.50620537507196,0.862404227198845,0.506220257307153,0.862404227243339,0.506220257232778
1.05,0.871971437635255,0.500220551244445,0.867432046543753,0.497555933668719,0.867423225549849,0.497571047967262,0.867423225594017,0.497571047891726
1.06,0.8769736431477,0.491500836868092,0.872364234278113,0.488856735406598,0.872355482301162,0.488872081937224,0.872355482344987,0.488872081860527
1.07,0.881888651516381,0.482731100436615,0.877209183420465,0.480108650227047,0.877200504231221,0.480124229106392,0.877200504274682,0.480124229028533
1.08,0.886715962520747,0.473912213921451,0.881966409463564,0.471312552960331,0.881957806841868,0.471328364252761,0.881957806884948,0.471328364173739
1.09,0.891455084659961,0.465045054296244,0.886635436672695,0.462469323238047,0.886626914406809,0.462485366955484,0.886626914449488,0.4624853668753
1.1,0.896105535202924,0.456130503449644,0.891215798133241,0.453579845405158,0.891207360019177,0.453596121506923,0.891207360061436,0.453596121425577
1.11,0.90066684023742,0.447169448097615,0.895707035797386,0.444645008431556,0.895698685638228,0.444661516824214,0.895698685680048,0.444661516741706
1.12,0.905138534718397,0.438162779695241,0.900108700529912,0.43566570582316,0.900100442135143,0.435682446360381,0.900100442176505,0.435682446276711
1.13,0.909520162515349,0.429111394348057,0.904420352153117,0.42664283553257,0.904412189337941,0.426659808014986,0.904412189378826,0.426659807930157
1.14,0.91381127645883,0.420016192722903,0.908641559490835,0.417577299869262,0.908633496075494,0.417594504044345,0.908633496115884,0.417594503958357
1.15,0.918011438386059,0.410878079958315,0.912771900411553,0.40847000540936,0.912763940220647,0.408487440971302,0.912763940260521,0.408487440884157
1.16,0.922120219185642,0.401697965574455,0.916810961870626,0.399321862904974,0.916803108732427,0.399339529494573,0.916803108771767,0.399339529406272
1.17,0.926137198841386,0.392476763382598,0.920758339951583,0.390133787193123,0.92075059769735,0.390151684397684,0.920750597736136,0.390151684308229
1.18,0.930061966475212,0.383215391394184,0.924613639906516,0.380906697104247,0.924606012369807,0.380924824457487,0.924606012408021,0.380924824366881
1.19,0.933894120389154,0.373914771729432,0.928376476195563,0.371641515370327,0.928368967211545,0.371659872352287,0.928368967249167,0.371659872260532
1.2,0.937633268106448,0.364575830525541,0.932046472525457,0.362339168532603,0.932039085930216,0.362357754569573,0.932039085967227,0.362357754476673
